composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li7.131 La3 Zr2 Al0.244 O12,7.73E-05,-4.111820506,,,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Si2 O6,6.67E-06,-5.175874166,,,174,10.1016/j.ssi.2009.02.028
Li1 Al1 Si2 O6,1.08E-06,-5.966576245,,,128,10.1016/j.ssi.2009.02.028
Li1 Al1 Si2 O6,1.69E-08,-7.772113295,,,58,10.1016/j.ssi.2009.02.028
Li1 Al1 Si2 O6,3.49E-09,-8.457174573,,,25,10.1016/j.ssi.2009.02.028
Li1 P1 O3,9.80E-09,-8.008773924,,,255,10.1007/s00339-007-4020-y
Li1 P1 O3,1.16E-07,-6.935542011,,,300,10.1007/s00339-007-4020-y
Li1 P1 O3,2.50E-08,-7.602059991,,,280,10.1007/s00339-007-4020-y
Li1 P1 O3,4.50E-07,-6.346787486,,,322,10.1007/s00339-007-4020-y
Li1 P1 O3,5.89E-06,-5.229884705,,,170,10.1016/j.ssi.2008.04.015
Li1 P1 O3,5.50E-08,-7.259637311,,,70,10.1016/j.ssi.2008.04.015
Li100 Al10 P90 O300,1.15E-08,-7.93930216,,,25,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al10 P90 O300,1.26E-07,-6.899629455,,,55,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al10 P90 O300,7.94E-07,-6.100179498,,,85,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al10 P90 O300,5.01E-06,-5.300162274,,,112,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al10 P90 O300,1.78E-05,-4.749579998,,,128,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,5.01E-08,-7.300162274,,,60,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,1.99E-07,-6.701146924,,,75,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,6.31E-07,-6.199970641,,,95,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,4.47E-06,-5.349692477,,,121,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,7.94E-06,-5.100179498,,,130,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al4 P96 O296,3.16E-09,-8.500312917,,,25,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,5.25E-08,-7.279840697,,,52,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,1.12E-07,-6.950781977,,,65,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,5.00E-07,-6.301029996,,,85,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,1.78E-06,-5.749579998,,,105,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,1.12E-05,-4.950781977,,,130,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al6 P94 O294,5.75E-09,-8.240332155,,,25,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,9.12E-09,-8.040005162,,,25,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,7.94E-08,-7.100179498,,,52,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,1.66E-07,-6.779891912,,,65,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,3.55E-07,-6.449771647,,,78,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,1.41E-06,-5.850780887,,,97,10.1016/j.jeurceramsoc.2008.12.016
Li100 Al8 P92 O292,5.01E-06,-5.300162274,,,113,10.1016/j.jeurceramsoc.2008.12.016
Li100 B50 Se25 O175,7.54E-07,-6.122628654,,,27,10.1016/S0167-2738(02)00137-6
Li100 P100 O300,1.32E-09,-8.879426069,,,25,10.1016/j.jeurceramsoc.2008.12.016
Li3 Fe2 P3 O12,1.42E-06,-5.847711656,,,100,10.1016/0167-2738(90)90442-T
Li3 Fe2 P3 O12,1.11E-08,-7.954677021,,,25,10.1016/0167-2738(90)90442-T
Li33.2 Si83.4 O183.4,2.77E-06,-5.557520231,,,179,10.1016/S0022-3093(99)00688-2
Li33.2 Si83.4 O183.4,3.53E-07,-6.452225295,,,135,10.1016/S0022-3093(99)00688-2
Li33.2 Si83.4 O183.4,3.21E-08,-7.493494968,,,90,10.1016/S0022-3093(99)00688-2
Li33.2 Si83.4 O183.4,1.30E-09,-8.886056648,,,25,10.1016/S0022-3093(99)00688-2
Li9 Al1 Si1 O8,2.30E-07,-6.638272164,,,30,10.1149/1.1836980
Li47 La47 Ti94 Si6 O294,6.30E-06,-5.200659451,,,15,10.1016/j.ssi.2008.08.013
Li47.5 La47.5 Ti95 Si5 O295,1.25E-05,-4.903089987,,,15,10.1016/j.ssi.2008.08.013
Li48.5 La48.5 Ti97 Si3 O297,1.00E-05,-5,,,15,10.1016/j.ssi.2008.08.013
Li2.3 Zn0.85 Ge1 O4,4.23E-09,-8.373659633,,,25,https://doi.org/10.1039/D2EE03499A
Li2.6 Zn0.7 Ge1 O4,5.79E-08,-7.237321436,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Cr1 Mo3 O12,0.0039,-2.408935393,,,600,10.1039/B301189e
Li3 Cr1 Mo3 O12,3.19E-09,-8.496209317,,,25,10.1039/B301189e
Li3 V0.2 P0.8 O4,2.05E-13,-12.68824614,,,30,10.1021/acs.chemmater.8b01504
Li3 V0.4 P0.6 O4,3.20E-13,-12.49485002,,,30,10.1021/acs.chemmater.8b01504
Li3 V0.6 P0.4 O4,3.55E-13,-12.44977165,,,30,10.1021/acs.chemmater.8b01504
Li3 V0.8 P0.2 O4,1.31E-13,-12.8827287,,,30,10.1021/acs.chemmater.8b01504
Li3 V1 O4,1.67E-06,-5.777283529,,,25,10.1016/S0924-0136(01)01044-5
Li3.2 Ge0.2 P0.8 O4,1.14E-06,-5.943095149,,,30,10.1021/acs.chemmater.8b01504
Li3.2 V0.8 Ge0.2 O4,1.90E-05,-4.721246399,,,30,10.1021/acs.chemmater.8b01504
Li3.4 Ge0.4 P0.6 O4,4.50E-06,-5.346787486,,,30,10.1021/acs.chemmater.8b01504
Li3.4 V0.6 Ge0.4 O4,8.89E-07,-6.051098239,,,30,10.1021/acs.chemmater.8b01504
Li3.75 Si0.75 P0.25 O4,0.000239,-3.621602099,,,228.73,10.1021/acsami.6b14402
Li3.75 Si0.75 P0.25 O4,2.91E-05,-4.536107011,,,149.36,10.1021/acsami.6b14402
Li3.75 Si0.75 P0.25 O4,5.03E-06,-5.298432015,,,100.96,10.1021/acsami.6b14402
Li3.75 Si0.75 P0.25 O4,2.46E-06,-5.609064893,,,75.47,10.1021/acsami.6b14402
Li3.75 Si0.75 P0.25 O4,5.54E-07,-6.256490235,,,25,10.1021/acsami.6b14402
Li3.8 V0.2 Ge0.8 O4,2.71E-06,-5.567030709,,,30,10.1021/acs.chemmater.8b01504
Li4 Al0.33 Si0.17 Ge0.17 P0.33 O4,0.00353,-2.452225295,,,215,10.1021/acsami.6b14402
Li4 Al0.33 Si0.17 Ge0.17 P0.33 O4,3.93E-06,-5.40560745,,,47,10.1021/acsami.6b14402
Li4 Al0.33 Si0.17 Ge0.17 P0.33 O4,1.61E-06,-5.793174124,,,25,10.1021/acsami.6b14402
Li4 Al0.33 Si0.33 P0.33 O4,0.00471,-2.326979093,,,249,10.1021/acsami.6b14402
Li4 Al0.33 Si0.33 P0.33 O4,0.000198,-3.70333481,,,125.29,10.1021/acsami.6b14402
Li4 Al0.33 Si0.33 P0.33 O4,1.93E-05,-4.714442691,,,76.66,10.1021/acsami.6b14402
Li4 Al0.33 Si0.33 P0.33 O4,3.25E-06,-5.488116639,,,25,10.1021/acsami.6b14402
Li4.25 Al0.25 Si0.75 O4,0.00088,-3.055517328,,,242,10.1021/acsami.6b14402
Li4.25 Al0.25 Si0.75 O4,6.37E-06,-5.195860568,,,124.96,10.1021/acsami.6b14402
Li4.25 Al0.25 Si0.75 O4,2.88E-07,-6.540607512,,,74.28,10.1021/acsami.6b14402
Li4.25 Al0.25 Si0.75 O4,4.10E-08,-7.387216143,,,50.34,10.1021/acsami.6b14402
Li4.25 Al0.25 Si0.75 O4,2.02E-08,-7.694648631,,,25,10.1021/acsami.6b14402
Li1.45 Ti1.55 Al0.45 P1 O4,0.00029,-3.537602002,,,25,10.5796/electrochemistry.82.870
Li0.95 Hf1.95 Ta0.05 P3 O12,0.00066,-3.180456064,,,300,10.1016/0025-5408(77)90161-1
Li1.5 Mg2.5 V0.5 Mo2.5 O12,1.00E-06,-6,,,440,10.1016/j.jssc.2010.08.042
Li3 Cr1 Mo3 O12,2.60E-06,-5.585026652,,,300,10.1039/B301189e
Li3 Fe1 Mo3 O12,0.0014,-2.853871964,,,600,10.1039/B301189e
Li3 Fe1 Mo3 O12,6.60E-07,-6.180456064,,,300,10.1039/B301189e
Li3 Fe1 Mo3 O12,5.89E-10,-9.229884705,,,25,10.1039/B301189e
Li0.1 Zr1.1 Nb0.9 P3 O12,0.00197,-2.705533774,,,200,10.1016/0025-5408(89)90129-3
Li0.1 Zr1.1 Nb0.9 P3 O12,6.00E-06,-5.22184875,,,25,https://doi.org/10.1039/D2EE03499A
Li0.2 Zr1.2 Nb0.8 P3 O12,2.38E-07,-6.623423043,,,25,10.1016/0025-5408(89)90129-3
Li0.5 Hf1.5 Ta0.5 P3 O12,0.00093,-3.031517051,,,200,10.1016/0025-5408(77)90161-1
Li0.5 Zr1.5 Nb0.5 P3 O12,0.00197,-2.705533774,,,200,10.1016/0025-5408(89)90129-3
Li0.5 Zr1.5 Ta0.5 P3 O12,0.0009,-3.045757491,,,200,10.1016/0025-5408(77)90161-1
Li0.6 Zr1.6 Nb0.4 P3 O12,0.000292,-3.534617149,,,200,10.1016/0025-5408(89)90129-3
Li0.7 Ti1.7 Al0.3 P3 O12,0.000401,-3.396855627,,,60.08,10.1016/j.jpowsour.2008.08.009
Li0.7 Ti1.7 Al0.3 P3 O12,0.000202,-3.694648631,,,40.2,10.1016/j.jpowsour.2008.08.009
Li0.7 Ti1.7 Al0.3 P3 O12,7.73E-05,-4.111820506,,,19.74,10.1016/j.jpowsour.2008.08.009
Li0.8 Hf1.8 Nb0.2 P3 O12,0.000213,-3.671620397,,,200,10.1016/0025-5408(89)90129-3
Li0.8 La0.066 Zr2 P3 O12,0.00317,-2.498940738,,,225.81,10.1007/s11581-009-0332-6
Li0.8 La0.066 Zr2 P3 O12,0.000886,-3.052566278,,,176.37,10.1007/s11581-009-0332-6
Li0.8 La0.066 Zr2 P3 O12,0.000176,-3.754487332,,,126.37,10.1007/s11581-009-0332-6
Li0.8 La0.066 Zr2 P3 O12,3.73E-05,-4.428291168,,,77.03,10.1007/s11581-009-0332-6
Li0.8 La0.066 Zr2 P3 O12,8.20E-06,-5.086186148,,,25,10.1007/s11581-009-0332-6
Li0.8 Zr1.8 Nb0.2 P3 O12,7.40E-05,-4.13076828,,,200,10.1016/0025-5408(77)90161-1
Li0.8 Zr1.8 Ta0.2 P3 O12,7.40E-05,-4.13076828,,,200,10.1016/0025-5408(77)90161-1
Li0.85 Hf1.85 Ta0.15 P3 O12,0.00051,-3.292429824,,,200,10.1016/0025-5408(77)90161-1
Li0.9 Zr1.9 Nb0.1 P3 O12,1.35E-06,-5.869666232,,,25,10.1016/j.ssi.2003.12.037
Li0.9 Zr1.9 Ta0.1 P3 O12,0.00095,-3.022276395,,,300,10.1016/0025-5408(77)90161-1
Li0.95 Zr1.95 Ta0.05 P3 O12,0.00073,-3.13667714,,,300,10.1016/0025-5408(77)90161-1
Li0.98 Zr1.98 Nb0.02 P3 O12,2.50E-07,-6.602059991,,,25,10.1016/j.ssi.2003.12.037
Li1 Al1 Sb1 P3 O12,3.17E-08,-7.498940738,,,30,10.1063/1.2357843
Li1 Cr1 Sb1 P3 O12,3.57E-10,-9.447331784,,,30,10.1063/1.2357843
Li1 Fe1 Sb1 P3 O12,1.37E-06,-5.863279433,,,30,10.1063/1.2357843
Li1 Hf1 Ti1 P3 O12,5.63E-07,-6.249491605,,,23,10.1016/0025-5408(89)90129-3
Li1 Ta1 Al1 P3 O12,0.01,-2,,,350,10.1039/A807007E
Li1 Ta1 Cr1 P3 O12,3.16E-07,-6.500312917,,,61,10.1039/A807007E
Li1 Ta1 Fe1 P3 O12,0.000335,-3.474955193,,,350,10.1039/A807007E
Li1 Ti2 P3 O12,4.00E-07,-6.397940009,,,30,10.1016/0167-2738(94)90332-8
Li1 Zr0.2 Ti1.8 P3 O12,8.50E-08,-7.070581074,,,25,10.1016/0167-2738(86)90179-7
Li1 Zr0.25 Ti1.75 P3 O12,7.35E-05,-4.133712661,,,154,10.1016/0167-2738(90)90188-W
Li1 Zr1 Ti1 P3 O12,4.00E-08,-7.397940009,,,25,10.1016/0167-2738(86)90179-7
Li1 Zr1.5 Ti0.5 P3 O12,6.20E-08,-7.207608311,,,25,10.1016/0167-2738(86)90179-7
Li1 Zr1.5 Ti0.5 P3 O12,0.00052,-3.283996656,,,300,10.1016/0167-2738(86)90179-7
Li1 Zr1.8 Ti0.2 P3 O12,5.60E-08,-7.251811973,,,25,10.1016/0167-2738(86)90179-7
Li1 Zr1.9 Ti0.1 P3 O12,3.20E-08,-7.494850022,,,25,10.1016/0167-2738(86)90179-7
Li1.02 Y0.02 Zr1.98 P3 O12,1.15E-07,-6.93930216,,,25,10.1016/j.ssi.2003.12.037
Li1.05 Y0.05 Zr1.95 P3 O12,0.00013,-3.886056648,,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 Zr1.9 Al0.05 P3 O12,5.79E-07,-6.237321436,,,25,https://doi.org/10.1039/D2EE03499A
Li1.076 Ti1.462 Al0.6923 P3 O12,0.00374,-2.427128398,,,58,10.1016/S0167-2738(97)00018-0
Li1.076 Ti1.462 Al0.6923 P3 O12,0.000825,-3.083546051,,,21,10.1016/S0167-2738(97)00018-0
Li1.1 Al0.1 Ge1.9 P3 O12,1.29E-05,-4.88941029,,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Hf1.9 Cr0.1 P3 O12,9.35E-08,-7.029188389,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Hf1.9 Fe0.1 P3 O12,0.000107,-3.970616222,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Hf1.9 In0.1 P3 O12,1.00E-06,-6,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Hf1.9 Sc0.1 P3 O12,2.45E-05,-4.610833916,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Lu0.1 Hf1.9 P3 O12,5.88E-05,-4.230622674,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Y0.1 Hf1.9 P3 O12,9.18E-05,-4.037157319,,,25,10.1016/0167-2738(93)90387-I
Li1.1 Y0.1 Ti1.9 P3 O12,2.94E-07,-6.53165267,,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Y0.1 Zr1.9 P3 O12,0.0001,-4,,,25,https://doi.org/10.1039/D2EE03499A
Li1.15 Ti1.85 Fe0.15 P3 O12,0.000522,-3.282329497,,,25,10.1007/s11164-013-1348-0
Li1.2 Hf1.8 Cr0.2 P3 O12,2.54E-07,-6.595166283,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Hf1.8 Fe0.2 P3 O12,0.00017,-3.769551079,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Hf1.8 In0.2 P3 O12,0.000132,-3.879426069,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Hf1.8 Sc0.2 P3 O12,5.86E-05,-4.232102384,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Hf2 P3 O12.1,0.000112,-3.950781977,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 La0.2 Ti1.8 P3 O12,0.000528,-3.277366077,,,25,10.1149/1.2096693
Li1.2 Lu0.2 Hf1.8 P3 O12,9.79E-05,-4.009217308,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Ta0.9 Al1.1 P3 O12,6.50E-07,-6.187086643,,,30,10.1039/A807007E
Li1.2 Ta0.9 Al1.1 P3 O12,0.012,-1.920818754,,,350,10.1039/A807007E
Li1.2 Ti0.8 Al0.2 Ge1 P3 O12,3.00E-05,-4.522878745,,,25,10.1021/cm021717j
Li1.2 Ti1 Al0.2 Ge0.8 P3 O12,3.00E-05,-4.522878745,,,25,10.1021/cm021717j
Li1.2 Ti1.8 Fe0.2 P3 O12,0.000351,-3.454692884,,,25,10.1149/1.2086597
Li1.2 Ti2 Si0.2 P2.8 O12,8.60E-05,-4.065501549,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Y0.2 Hf1.8 P3 O12,3.19E-05,-4.496209317,,,25,10.1016/0167-2738(93)90387-I
Li1.2 Y0.2 Ti1.8 P3 O12,0.000504,-3.297569464,,,25,10.1149/1.2086597
Li1.2 Zr0.2 Sc0.2 Ti1.6 P3 O12,0.00012,-3.920818754,,,25,10.1016/0167-2738(86)90179-7
Li1.2 Zr1.5 Sc0.2 Ti0.2 P3 O12,3.10E-07,-6.508638306,,,25,10.1016/0167-2738(86)90179-7
Li1.3 Eu0.3 Ti1.7 P3 O12,6.00E-05,-4.22184875,,,25,10.1016/0167-2738(94)90299-2
Li1.3 Hf1.7 Cr0.3 P3 O12,5.26E-07,-6.279014256,,,25,10.1016/0167-2738(93)90387-I
Li1.3 Hf1.7 Fe0.3 P3 O12,5.40E-05,-4.26760624,,,25,10.1016/0167-2738(93)90387-I
Li1.3 Hf1.7 In0.3 P3 O12,0.000142,-3.847711656,,,25,10.1016/0167-2738(93)90387-I
Li1.3 Hf1.7 Sc0.3 P3 O12,8.32E-05,-4.079876674,,,25,10.1016/0167-2738(93)90387-I
Li1.3 In0.3 Ge1.7 P3 O12,9.22E-06,-5.035269079,,,25,10.1246/bcsj.65.2200
Li1.3 La0.3 Ti1.7 P3 O12,0.000528,-3.277366077,,,25,10.1149/1.2096693
Li1.3 Lu0.3 Hf1.7 P3 O12,3.56E-05,-4.448550002,,,25,10.1016/0167-2738(93)90387-I
Li1.3 Sc0.01 Ti1.7 Al0.29 P3 O12,0.000119,-3.924453039,,,140,10.1016/j.physb.2016.04.027
Li1.3 Sc0.03 Ti1.7 Al0.27 P3 O12,8.47E-05,-4.07211659,,,140,10.1016/j.physb.2016.04.027
Li1.3 Sc0.05 Ti1.7 Al0.25 P3 O12,0.000108,-3.966576245,,,140,10.1016/j.physb.2016.04.027
Li1.3 Sc0.07 Ti1.7 Al0.23 P3 O12,7.00E-05,-4.15490196,,,140,10.1016/j.physb.2016.04.027
Li1.3 Sc0.15 Ti1.7 Al0.15 P3 O12,0.00124,-2.906578315,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Sc0.3 Ge1.7 P3 O12,5.59E-05,-4.252588192,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti0.3 Al0.3 Ge1.4 P3 O12,0.0011,-2.958607315,,,227,10.1016/j.electacta.2005.12.055
Li1.3 Ti1.7 Cr0.3 P3 O12,3.51E-05,-4.454692884,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti1.7 Ga0.3 P3 O12,0.000261,-3.583359493,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti1.7 In0.3 P3 O12,0.000393,-3.40560745,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti2 B0.3 P3 O12.9,0.00166,-2.779891912,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti2 P3.3 O13.2,0.000992,-3.003488328,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti2 Si0.3 P2.7 O12,0.00032,-3.494850022,,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Y0.1 Ti1.7 Al0.2 P3 O12,0.00012,-3.920818754,,,25,10.1016/j.ssi.2012.05.011
Li1.3 Y0.15 Ti1.7 Al0.15 P3 O12,1.90E-05,-4.721246399,,,25,10.1016/j.ssi.2012.05.011
Li1.3 Y0.2 Ti1.7 Al0.1 P3 O12,7.30E-05,-4.13667714,,,25,10.1016/j.ssi.2012.05.011
Li1.3 Y0.3 Hf1.7 P3 O12,3.19E-05,-4.496209317,,,25,10.1016/0167-2738(93)90387-I
Li1.3 Y0.3 Ti1.7 P3 O12,0.000554,-3.256490235,,,25,10.1149/1.2086597
Li1.35 Ti1.45 Al0.35 Ge0.2 P3 O12,0.000618,-3.209011525,,,25,10.3389/fenrg.2016.00012
Li1.35 Ti1.65 In0.35 P3 O12,0.021,-1.677780705,,,300,10.1016/0167-2738(86)90183-9
Li1.4 Hf1.6 In0.4 P3 O12,0.000142,-3.847711656,,,25,10.1016/0167-2738(93)90387-I
Li1.4 Hf1.6 Sc0.4 P3 O12,6.17E-05,-4.209714836,,,25,10.1016/0167-2738(93)90387-I
Li1.4 Hf2 P3 O12.2,2.78E-05,-4.555955204,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 La0.4 Ti1.6 P3 O12,0.000497,-3.303643611,,,25,10.1149/1.2096693
Li1.4 Lu0.4 Hf1.6 P3 O12,2.06E-05,-4.68613278,,,25,10.1016/0167-2738(93)90387-I
Li1.4 Sc0.4 Ti1.6 P3 O12,0.000515,-3.288192771,,,25,10.1149/1.2086597
Li1.4 Ti0.4 Al0.4 Ge1.2 P3 O12,0.000343,-3.46470588,,,25,10.1016/j.ssi.2013.09.022
Li1.4 Ti0.528 Al0.4 Ge1.072 P3 O12,0.00412,-2.385102784,,,143,10.1016/j.ssi.2004.05.009
Li1.4 Ti0.528 Al0.4 Ge1.072 P3 O12,0.00204,-2.690369833,,,97,10.1016/j.ssi.2004.05.009
Li1.4 Ti0.528 Al0.4 Ge1.072 P3 O12,0.00117,-2.931814138,,,60,10.1016/j.ssi.2004.05.009
Li1.4 Ti0.528 Al0.4 Ge1.072 P3 O12,0.000676,-3.170053304,,,21,10.1016/j.ssi.2004.05.009
Li1.4 Ti0.6 Al0.4 Ge1 P3 O12,8.00E-05,-4.096910013,,,25,10.1021/cm021717j
Li1.4 Ti0.8 Al0.4 Ge0.8 P3 O12,6.00E-05,-4.22184875,,,25,10.1021/cm021717j
Li1.4 Ti1.4 Al0.4 Ge0.2 P3 O12,0.00129,-2.88941029,,,25,10.1016/j.ssi.2013.09.022
Li1.4 Ti1.6 Cr0.4 P3 O12,0.00015,-3.823908741,,,25,10.1149/1.2086597
Li1.4 Ti1.6 Fe0.4 P3 O12,0.000392,-3.406713933,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti1.6 Ga0.4 P3 O12,0.000128,-3.89279003,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti1.6 In0.4 P3 O12,0.00019,-3.721246399,,,25,10.1016/0167-2738(86)90176-1
Li1.4 Ti1.6 In0.4 P3 O12,0.055,-1.259637311,,,300,10.1016/0167-2738(86)90176-1
Li1.4 Ti2 Si0.4 P2.6 O12,0.00015,-3.823908741,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Y0.4 Hf1.6 P3 O12,2.09E-05,-4.679853714,,,25,10.1016/0167-2738(93)90387-I
Li1.4 Y0.4 Ti1.6 P3 O12,0.00061,-3.214670165,,,25,10.1149/1.2096693
Li1.45 Ti1.35 Al0.45 Ge0.2 P3 O12,0.00101,-2.995678626,,,25,10.3389/fenrg.2016.00012
Li1.5 Fe0.5 Ge1.5 P3 O12,2.56E-05,-4.591760035,,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Ga0.5 Ge1.5 P3 O12,0.000117,-3.931814138,,,25,10.1246/bcsj.65.2200
Li1.5 Hf1.5 Al0.5 P3 O12,0.00011,-3.958607315,,,25,10.1016/j.ssi.2005.07.010
Li1.5 Hf1.5 Cr0.5 P3 O12,1.18E-07,-6.928117993,,,25,10.1016/0167-2738(93)90387-I
Li1.5 In0.5 Ge1.5 P3 O12,5.81E-06,-5.235823868,,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 La0.5 Ti1.5 P3 O12,0.000282,-3.549750892,,,25,10.1149/1.2096693
Li1.5 Sc0.5 Ge1.5 P3 O12,2.51E-05,-4.600326279,,,25,10.1246/bcsj.65.2200
Li1.5 Sc0.5 Ti1.5 P3 O12,0.000253,-3.596879479,,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Ti1.3 Al0.5 Ge0.2 P3 O12,0.000737,-3.132532512,,,25,10.3389/fenrg.2016.00012
Li1.5 Ti1.5 In0.5 P3 O12,0.000204,-3.690369833,,,25,10.1149/1.2086597
Li1.5 Ti2 Si0.5 P2.5 O12,9.60E-05,-4.017728767,,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Y0.5 Ti1.5 P3 O12,5.44E-05,-4.2644011,,,25,10.1149/1.2086597
Li1.55 Ti1.25 Al0.55 Ge0.2 P3 O12,7.02E-05,-4.153662888,,,25,10.3389/fenrg.2016.00012
Li1.6 Al0.6 Ge0.8 P3 O12,0.0007,-3.15490196,,,24.85,10.1021/cm021717j
Li1.6 Mg0.3 Ti1.7 P3 O12,2.80E-06,-5.552841969,,,25,10.1016/0167-2738(86)90176-1
Li1.6 Mg0.3 Ti1.7 P3 O12,0.0053,-2.27572413,,,300,10.1016/0167-2738(86)90176-1
Li1.6 Ti0.4 Al0.6 Ge1 P3 O12,5.00E-05,-4.301029996,,,25,10.1021/cm021717j
Li1.6 Ti0.6 Al0.6 Ge0.8 P3 O12,0.00011,-3.958607315,,,25,10.1021/cm021717j
Li1.6 Ti1.4 Ga0.6 P3 O12,1.30E-05,-4.886056648,,,25,10.1016/0167-2738(86)90176-1
Li1.6 Ti1.4 Ga0.6 P3 O12,0.0084,-2.075720714,,,300,10.1016/0167-2738(86)90176-1
Li1.7 Cr0.7 Ge1.3 P3 O12,2.46E-05,-4.609064893,,,25,https://doi.org/10.1039/D2EE03499A
Li1.7 Fe0.7 Ge1.3 P3 O12,2.37E-05,-4.625251654,,,25,10.1246/bcsj.65.2200
Li1.7 Ga0.7 Ge1.3 P3 O12,2.43E-05,-4.614393726,,,25,10.1246/bcsj.65.2200
Li1.7 Hf1.3 Cr0.7 P3 O12,0.000528,-3.277366077,,,300,10.1016/S0167-2738(98)00207-0
Li1.7 Hf1.3 Fe0.7 P3 O12,2.68E-05,-4.571865206,,,171,10.1016/S0167-2738(98)00207-0
Li1.7 Ti1.3 Al0.7 P3 O12,3.70E-05,-4.431798276,,,25,10.1016/S0955-2219(99)00055-2
Li1.8 Hf2 P3 O12.4,3.40E-05,-4.468521083,,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Sc0.8 Ti1.2 P3 O12,0.00088,-3.055517328,,,25,10.1016/0167-2738(86)90179-7
Li1.8 Ti0.2 Al0.8 Ge1 P3 O12,3.00E-05,-4.522878745,,,25,10.1021/cm021717j
Li1.8 Ti0.4 Al0.8 Ge0.8 P3 O12,7.00E-05,-4.15490196,,,25,10.1021/cm021717j
Li1.8 Ti1.2 Cr0.8 P3 O12,0.0048,-2.318758763,,,300,10.1016/0167-2738(88)90291-3
Li1.8 Ti1.2 Cr0.8 P3 O12,0.00024,-3.619788758,,,25,10.1016/0167-2738(88)90291-3
Li1.8 Ti2 P3 Cl0.8 O12,0.00128,-2.89279003,,,25,https://doi.org/10.1039/D2EE03499A
Li2 Hf1 Cr1 P3 O12,0.000335,-3.474955193,,,300,10.1016/S0167-2738(96)00565-6
Li2 Hf1 In1 P3 O12,2.74E-08,-7.562249437,,,25,10.1016/S0167-2738(96)00565-6
Li2 Ti1 Cr1 P3 O12,4.41E-07,-6.355561411,,,25,10.1016/S0167-2738(96)00565-6
Li2 Ti1 Fe1 P3 O12,3.34E-07,-6.476253533,,,25,10.1016/S0167-2738(96)00565-6
Li2 Ti1 In1 P3 O12,8.30E-06,-5.080921908,,,25,10.1016/S0167-2738(96)00565-6
